DateBurn,BurnName,Lat,Long,CountyName,InChangeOfName,AgencyName,AcresBurnUnit,AcresBurnPercent,FuelType,MoistureCondition,Method,,,CrewSize,FireComplexity,FuelModel,RecentBurnDate,LandType
4/2/2019,"GRWMA, Little Cake",37.189,-85.199,Adair,Brian Gray,KDFWR,10,95,Grass - Moderate,Unknown,Hand,,,Crew,Low,2,2/15/2013,Private
3/20/2017,Jeff Shuffett,37.19069,-85.4048,Green,Chris Mason,KDFWR,89,85,Grass - Moderate,Unknown,Hand,,,8,Moderate,12,3/1/2013,Private
3/9/2018,Jeff Shuffett,37.19103,-85.40472,Green,Chris Mason,KDFWR,34,95,Grass - Moderate,Unknown,Hand,,,7,Moderate,17,3/15/2012,Public
4/1/2014,Jeff Biggs,37.19278,-85.35397,Adair,Chris Mason,KDFWR,240,100,Grass - Moderate,Unknown,Hand,,,7,Moderate,17,3/15/2012,Public
3/6/2018,Jeff Biggs,37.19278,-85.35397,Adair,Chris Mason,KDFWR,145.5,95,Grass - Moderate,Unknown,Hand,,,7,Moderate,17,3/22/2012,Public
3/9/2018,Jeff Biggs,37.19278,-85.35397,Adair,Chris Mason,KDFWR,94.5,90,Grass - Moderate,Unknown,Hand,,,7,Low,1,3/3/2011,Public
3/28/2019,"GRWMA, Goose Shoals",37.194,-85.142,Adair,Brian Gray,KDFWR,14.1,90,Grass - Moderate,Unknown,Hand,,,6,Low,35,,Public
3/28/2019,"GRWMA, Upper Green",37.194,-85.142,Adair,Brian Gray,KDFWR,5.7,80,Grass - Moderate,Unknown,Hand,,,6,,35,,Public
3/15/2017,"GRWMA, Goose Shoals",37.1944,-85.1422,Adair,Brian Gray,KDFWR,17.3,85,Grass - Light,Unknown,Hand,,,7,,1,3/1/2012,Public
3/15/2017,"GRWMA, Upper Green",37.1944,-85.1422,Adair,Brian Gray,KDFWR,28.3,85,Grass - Moderate,Unknown,Hand,,,8,Low,1,3/1/2012,Public
3/23/2017,"GRWMA, Goose Shoals",37.1944,-85.1421,Adair,Brian Gray,KDFWR,7.3,60,Litter - Light,Unknown,Hand,,,8,Low,1,,Public
3/7/2016,GRWMA-Upper Green River,37.19443,-85.14215,Adair,Brian Gray,KDFWR,22.5,75,Grass - Light,Unknown,Hand,,,10,Low,10,,Public
3/16/2018,"Green River WMA, Adair County",37.19443,-85.14215,Adair,Brian Gray,KDFWR,247.5,95,Grass - Moderate,Unknown,Hand,,,10,Low,1,3/1/2012,Public
2/20/2017,Harry Kessler,37.1946,-85.49448,Green,Chris Mason,KDFWR,70.8,95,Grass - Moderate,Unknown,Hand,,,10,Low,10,,
3/11/2014,Harry Kessler,37.19536,-85.49494,Green,Chris Mason,KDFWR,49.6,95,Grass - Moderate,Unknown,Hand,,,14,Moderate,26,,Public
3/17/2015,Harry Kessler,37.19536,-85.49494,Green,Chris Mason,KDFWR,17.4,95,Grass - Heavy,Unknown,Hand,,,10,Low,10,,Public
3/5/2018,Harry Kessler,37.195361,-85.494944,Green,Chris Mason,KDFWR,50.9,70,Grass - Moderate,Unknown,Hand,,,10,Low,6,,Public
3/28/2016,Harry Kessler,37.19657,-85.50179,Green,Chris Mason,KDFWR,12.8,65,Grass - Moderate,Unknown,Hand,,,11,Low,22,,Public
3/7/2016,GRWMA-Goose Shoals,37.19862,-85.11704,Adair,Brian Gray,KDFWR,28.5,90,Grass - Moderate,Unknown,Hand,,,12,Low,12,,Public
4/20/2014,Rogers Farm,37.20183,-87.39694,Hopkins,Jeff Rogers,Private Landowner,3,100,Grass - Heavy,Unknown,Hand,,,10,Low,1,,Public
3/11/2019,Daris Arnold,37.204,-85.221,Adair,Brian Gray,KDFWR,22,95,Grass - Light,Unknown,Hand,,,6,Low,6,,Public
3/28/2016,Ivus Crouch Dyer Hill Mine Road,37.21,-88.403,Livingston,Philip Sharp,KDFWR,30.2,90,Grass - Heavy,Unknown,Hand,,,7,Low,1,,Private
4/2/2019,"GRWMA, Plum Point",37.21,-85.243,Adair,Brian Gray,KDFWR,10.1,90,Grass - Moderate,Unknown,Hand,,,5,Low,10,3/22/2013,Private
3/2/2017,"GRWMA, Plum Point",37.2103,-85.2426,Adair,Brian Gray,KDFWR,10.1,85,Grass - Moderate,Unknown,Hand,,,8,Low,10,,Private
3/7/2016,GRWMA-Plum Point,37.21037,-85.24263,Adair,Brian Gray,KDFWR,5.3,100,Grass - Moderate,Unknown,Hand,,,8,Low,10,,Private
3/22/2017,Bertha Crouch,37.2109,-88.4046,Livingston,Philip Sharp,KDFWR,65.5,90,Grass - Heavy,Unknown,Hand,,,8,Low,10,,Private
3/23/2015,Dathel Ramage,37.211317,-88.406284,Livingston,Philip Sharp,KDFWR,40.3,70,Grass - Heavy,Unknown,Hand,,,8,Low,10,,Private
3/28/2019,RH Group,37.212491,-82.756745,Letcher,Merle Hacker,KDFWR,100,85,Grass - Moderate,0,Hand,,,8,Low,10,,Private
3/18/2016,Rita Ramage,37.214,-88.409,Livingston,Philip Sharp,KDFWR,37.7,90,Grass - Heavy,Unknown,Hand,,,8,Low,10,,Private
3/2/2017,"GRWMA, Holmes Bend",37.21421,-85.26597,Adair,Brian Gray,KDFWR,1,90,Grass - Moderate,Unknown,Hand,,,8,Low,10,,Private
